2024/11/09 21:36:44.796461 GET took 12.963µs, cache status true 
2024/11/09 21:36:45.319811 GET took 12.777µs, cache status true 
2024/11/09 21:36:45.833600 GET took 1.430849ms, cache status false 
2024/11/09 21:36:46.362503 GET took 1.391574ms, cache status false 
2024/11/09 21:36:46.876544 GET took 666.155µs, cache status false 
2024/11/09 21:36:47.410996 GET took 1.591711ms, cache status false 
2024/11/09 21:36:47.911773 GET took 13.418µs, cache status true 
2024/11/09 21:36:48.455371 GET took 13.838µs, cache status true 
2024/11/09 21:36:48.968075 GET took 735.772µs, cache status false 
2024/11/09 21:36:49.495513 GET took 11.162µs, cache status true 
2024/11/09 21:36:50.008835 GET took 703.96µs, cache status false 
2024/11/09 21:36:50.531336 GET took 12.569µs, cache status true 
2024/11/09 21:36:51.047990 GET took 14.344µs, cache status true 
2024/11/09 21:36:51.574349 GET took 13.602µs, cache status true 
2024/11/09 21:36:52.083604 GET took 13.447µs, cache status true 
2024/11/09 21:36:52.609195 GET took 1.554331ms, cache status false 
2024/11/09 21:36:53.128468 GET took 11.884µs, cache status true 
2024/11/09 21:36:53.644629 GET took 1.557372ms, cache status false 
2024/11/09 21:36:54.190311 GET took 14.186µs, cache status true 
2024/11/09 21:36:54.713204 GET took 21.163µs, cache status true 
2024/11/09 21:36:55.227801 GET took 12.54µs, cache status true 
2024/11/09 21:36:55.741910 GET took 13.623µs, cache status true 
2024/11/09 21:36:56.274343 GET took 16.954µs, cache status true 
2024/11/09 21:36:56.770503 GET took 12.667µs, cache status true 
2024/11/09 21:36:57.302649 GET took 13.349µs, cache status true 
2024/11/09 21:36:57.829523 GET took 14.394µs, cache status true 
2024/11/09 21:36:58.361392 GET took 15.945µs, cache status true 
2024/11/09 21:36:58.861387 GET took 16.596µs, cache status true 
2024/11/09 21:36:59.394908 GET took 16.275µs, cache status true 
2024/11/09 21:36:59.905579 GET took 12.406µs, cache status true 
2024/11/09 21:37:00.440770 GET took 11.729µs, cache status true 
2024/11/09 21:37:00.959646 GET took 1.246698ms, cache status false 
2024/11/09 21:37:01.485767 GET took 12.371µs, cache status true 
2024/11/09 21:37:02.008047 GET took 14.911µs, cache status true 
2024/11/09 21:37:02.566962 GET took 1.549545ms, cache status false 
2024/11/09 21:37:03.103506 GET took 16.512µs, cache status true 
2024/11/09 21:37:03.629073 GET took 16.348µs, cache status true 
2024/11/09 21:37:04.137400 GET took 1.423455ms, cache status false 
2024/11/09 21:37:04.678082 GET took 12.888µs, cache status true 
2024/11/09 21:37:05.187179 GET took 1.500913ms, cache status false 
2024/11/09 21:37:05.700637 GET took 12.738µs, cache status true 
2024/11/09 21:37:06.227988 GET took 14.278µs, cache status true 
2024/11/09 21:37:06.740001 GET took 13.118µs, cache status true 
2024/11/09 21:37:07.277377 GET took 12.217µs, cache status true 
2024/11/09 21:37:07.787980 GET took 12.04µs, cache status true 
2024/11/09 21:37:08.298756 GET took 13.144µs, cache status true 
2024/11/09 21:37:08.817041 GET took 14.266µs, cache status true 
2024/11/09 21:37:09.362280 GET took 14.026µs, cache status true 
2024/11/09 21:37:09.888131 GET took 15.255µs, cache status true 
2024/11/09 21:37:10.385821 GET took 11.419µs, cache status true 
2024/11/09 21:37:10.911268 GET took 14.509µs, cache status true 
2024/11/09 21:37:11.431962 GET took 1.640356ms, cache status false 
2024/11/09 21:37:11.957965 GET took 14.234µs, cache status true 
2024/11/09 21:37:12.475786 GET took 12.539µs, cache status true 
2024/11/09 21:37:12.991343 GET took 12.466µs, cache status true 
2024/11/09 21:37:13.527101 GET took 14.666µs, cache status true 
2024/11/09 21:37:14.035382 GET took 13.436µs, cache status true 
2024/11/09 21:37:14.563082 GET took 1.281205ms, cache status false 
2024/11/09 21:37:15.073262 GET took 13.753µs, cache status true 
2024/11/09 21:37:15.607914 GET took 11.9µs, cache status true 
2024/11/09 21:37:16.123965 GET took 12.64µs, cache status true 
2024/11/09 21:37:16.643316 GET took 12.618µs, cache status true 
2024/11/09 21:37:17.161472 GET took 1.63895ms, cache status false 
2024/11/09 21:37:18.728294 GET took 11.849µs, cache status true 
2024/11/09 21:37:19.265613 GET took 13.611µs, cache status true 
2024/11/09 21:37:19.777425 GET took 1.734512ms, cache status false 
2024/11/09 21:37:20.294114 GET took 11.984µs, cache status true 
2024/11/09 21:37:20.816898 GET took 13.682µs, cache status true 
2024/11/09 21:37:21.324383 GET took 12.858µs, cache status true 
2024/11/09 21:37:21.872524 GET took 1.475396ms, cache status false 
