2024/11/09 21:26:37.867153 GET took 13.303µs, cache status true 
2024/11/09 21:26:38.371056 GET took 12.433µs, cache status true 
2024/11/09 21:26:38.903389 GET took 12.291µs, cache status true 
2024/11/09 21:26:39.409714 GET took 13.045µs, cache status true 
2024/11/09 21:26:39.945788 GET took 13.503µs, cache status true 
2024/11/09 21:26:40.456044 GET took 13.67µs, cache status true 
2024/11/09 21:26:40.987747 GET took 34.205µs, cache status true 
2024/11/09 21:26:41.490102 GET took 15.697µs, cache status true 
2024/11/09 21:26:42.024514 GET took 14.916µs, cache status true 
2024/11/09 21:26:42.554050 GET took 15.462µs, cache status true 
2024/11/09 21:26:43.052183 GET took 15.305µs, cache status true 
2024/11/09 21:26:43.590601 GET took 12.403µs, cache status true 
2024/11/09 21:26:44.096238 GET took 14.018µs, cache status true 
2024/11/09 21:26:44.617045 GET took 14.651µs, cache status true 
2024/11/09 21:26:45.133972 GET took 15.562µs, cache status true 
2024/11/09 21:26:45.665210 GET took 25.711µs, cache status true 
2024/11/09 21:26:46.175846 GET took 1.4774ms, cache status false 
2024/11/09 21:26:46.711767 GET took 13.414µs, cache status true 
2024/11/09 21:26:47.238119 GET took 14.702µs, cache status true 
2024/11/09 21:26:47.766114 GET took 13.844µs, cache status true 
2024/11/09 21:26:48.278954 GET took 14.122µs, cache status true 
2024/11/09 21:26:48.797594 GET took 12.457µs, cache status true 
2024/11/09 21:26:49.311046 GET took 13.825µs, cache status true 
2024/11/09 21:26:49.824384 GET took 12.596µs, cache status true 
2024/11/09 21:26:50.374133 GET took 10.053µs, cache status true 
2024/11/09 21:26:50.890912 GET took 15.366µs, cache status true 
2024/11/09 21:26:51.397870 GET took 12.51µs, cache status true 
2024/11/09 21:26:51.920890 GET took 13.159µs, cache status true 
2024/11/09 21:26:52.449858 GET took 13.822µs, cache status true 
2024/11/09 21:26:52.953276 GET took 1.351199ms, cache status false 
2024/11/09 21:26:53.496134 GET took 2.073901ms, cache status false 
2024/11/09 21:26:53.999088 GET took 13.463µs, cache status true 
2024/11/09 21:26:54.534950 GET took 14.209µs, cache status true 
2024/11/09 21:26:55.054202 GET took 19.922µs, cache status true 
2024/11/09 21:26:55.557407 GET took 1.770511ms, cache status false 
2024/11/09 21:26:56.095499 GET took 16.104µs, cache status true 
2024/11/09 21:26:56.615464 GET took 12.156µs, cache status true 
2024/11/09 21:26:57.134029 GET took 1.681126ms, cache status false 
2024/11/09 21:26:57.656819 GET took 15.657µs, cache status true 
2024/11/09 21:26:58.187118 GET took 12.406µs, cache status true 
2024/11/09 21:26:58.703501 GET took 11.391µs, cache status true 
2024/11/09 21:26:59.228412 GET took 11.98µs, cache status true 
2024/11/09 21:26:59.766918 GET took 12.28µs, cache status true 
2024/11/09 21:27:00.266884 GET took 899.868µs, cache status false 
2024/11/09 21:27:00.782445 GET took 14.789µs, cache status true 
